chapter,character,line
11,Jason Mendoza,I should have mentioned that earlier.
11,Jason Mendoza,"Is it just me, or am I acing this test?"
11,Michael,"Oh, this is bad."
11,Michael,"Oh, this is so, so bad."
11,Michael,"Oh, I thought I had everything under control when I found Eleanor, but somehow, you are� you're so much worse."
11,Michael,"No, don't� don't touch�"
11,Michael,Oh� how does that still work?
11,Jason Mendoza,"Everything's gonna be fine, homey."
11,Jason Mendoza,I promise.
11,Pillboi,"I don't know, B."
11,Pillboi,What if it doesn't work?
11,Jason Mendoza,"Hey, we thought of everything, except for an alibi and an escape route, but we'll figure it out as we go."
11,Jason Mendoza,You don't wanna over-think these things.
11,Pillboi,I'm kinda freaking out here.
11,Jason Mendoza,"Pillboi, I got you."
11,Jason Mendoza,This plan is foolproof.
11,Jason Mendoza,"And when it's over, we can finally have the lives we deserve."
11,Pillboi,Di Giorno!
11,Pillboi,I am a safe installer here to install-a da safe.
11,Pillboi,"So just-a point to where the guacamole money is, and I'll install-a the safe in the, how you say, place?"
11,Susan,"Yeah, hi, we're being robbed."
11,Pillboi,"J, they're on to us, man."
11,Susan,"His hat's a golf ball, and he's got a terrible mustache."
11,Pillboi,We need to get married now.
11,Pillboi,"I do, for always and forever."
11,Pillboi,I do!
11,Tahani Al-Jamil,"Eleanor, for an utter novice, you have thrown a lovely party."
11,Eleanor Shellstrop,"Well, thanks, but it's not working."
11,Eleanor Shellstrop,Not one more point.
11,Eleanor Shellstrop,What the fork?
11,Tahani Al-Jamil,"Oh, look, Michael's here."
11,Tahani Al-Jamil,He can help.
11,Tahani Al-Jamil,Michael.
11,Tahani Al-Jamil,Would you do us the honor of saying a few words?
11,Michael,I don't know that I'm in the right frame of mind.
11,Eleanor Shellstrop,"Please, they'll listen to you."
11,Eleanor Shellstrop,Just pay me a few compliments.
11,Eleanor Shellstrop,"You know, I'm great, heart of a champion, basically your muse, you get it."
11,Tahani Al-Jamil,"Attention, everyone."
11,Tahani Al-Jamil,Michael would like to say a few words.
11,Michael,"Hello, everyone."
11,Michael,"Good to see you all here, mingling around with your various secrets."
11,Michael,Who really knows which of you are who you say you are.
11,Michael,"No way to know unless I pull your skeletons out, right?"
11,Michael,Okay.
11,Michael,Take her easy.
11,Tahani Al-Jamil,Yes.
11,Tahani Al-Jamil,Well said.
11,Tahani Al-Jamil,"Now, we shall hear from tonight's featured guest."
11,Tahani Al-Jamil,"She's kind, she's humble, she's the Walmart of friends."
11,Tahani Al-Jamil,Did I use that word right?
11,Tahani Al-Jamil,Eleanor Shellstrop.
11,Eleanor Shellstrop,"Hi, everyone, I'm Eleanor."
11,Eleanor Shellstrop,"Uh� original flavor, not new and improved."
11,Eleanor Shellstrop,"I know a lot of bad stuff has happened because of me, but I never meant to hurt you."
11,Eleanor Shellstrop,"So, if I caused you any harm, I'm truly sorry."
11,Jessica,"That's nice, Eleanor, but I still crashed into a turkey carcass."
11,Glenn,And I fell into a sinkhole.
11,Pevita,And my dog got kicked into the sun.
11,Pevita,What can you possibly say to us that'll make up for your actions?
11,Eleanor Shellstrop,Pobody's nerfect?
11,Pilar,"""Pobody's nerfect""?"
11,Pilar,That's hilarious.
11,Sachveer,"Like ""nobody's perfect"", but the letters switched."
11,Glenn,That's very funny.
11,Sachveer,It's nerfect!
11,Michael,"Eleanor, great job tonight."
11,Michael,"Have you checked the, uh, ticker?"
11,Michael,I could really use some good news.
11,Eleanor Shellstrop,Okay.
11,Eleanor Shellstrop,Come on.
11,Michael,"Well, the nightmare continues."
11,Michael,The nightmare continues.
11,Tahani Al-Jamil,How did this not work?
11,Eleanor Shellstrop,There's no way to increase my point total because everything I'm doing is out of self-preservation.
11,Tahani Al-Jamil,I don't understand.
11,Eleanor Shellstrop,My motivation is corrupt.
11,Eleanor Shellstrop,"Even when I do nice things, I'm only doing them so I can get something out of it, the ability to stay here, which means none of this had any real moral value."
11,Eleanor Shellstrop,It doesn't count.
11,Eleanor Shellstrop,Holy shirt.
11,Eleanor Shellstrop,I know what I have to do.
11,Eleanor Shellstrop,"Okay, I am almost done with these personalized ""I'm sorry"" notes to everyone in the neighborhood."
11,Eleanor Shellstrop,"I need you guys to deliver everyone their notes, along with those T-shirts."
11,Eleanor Shellstrop,"Well, granted, these are hilarious but how is this going to help?"
11,Eleanor Shellstrop,Just trust me.
11,Eleanor Shellstrop,I'm gonna get the points.
11,Jason Mendoza,"Oh, good morning, Dad."
11,Jason Mendoza,Where you been?
11,Michael,"Oh, just walking around, contemplating my failure, wishing for the sweet release of eternal extinction."
11,Jason Mendoza,Cool.
11,Jason Mendoza,Hey� why don't you want me to see Janet?
11,Jason Mendoza,I'm a good guy.
11,Jason Mendoza,All I want is to give Janet the life she deserves.
11,Michael,"Janet is not built for human life, and I'm not sure you're much of a provider."
11,Michael,Do you even remember how you died?
11,Jason Mendoza,"No, not really."
11,Jason Mendoza,It's a little fuzzy.
11,Michael,You and your friend Pillboi were trying to rob a restaurant.
11,Jason Mendoza,Pillboi!
11,Michael,And then the cops showed up.
11,Officer Prawnmandler,So the plan was to pretend to install a safe with your friend hiding inside it.
11,Officer Prawnmandler,"He pops out, steals the money from the restaurant, gets back in the safe, then you come in and uninstall it."
11,Pillboi,I refuse to discuss my Fifth Amendment rights until I concur with your attorney.
11,Officer Prawnmandler,Sure.
11,Officer Prawnmandler,"Look, we found your buddy's plans."
11,Officer Prawnmandler,We know he was the� brains.
11,Officer Prawnmandler,You were just an accomplice.
11,Officer Prawnmandler,"If you get lucky, you might get probation."
11,Pillboi,Jason going to jail?
11,Officer Prawnmandler,"No, man."
11,Officer Prawnmandler,Jason's dead.
11,Officer Prawnmandler,He suffocated in that safe.
11,Officer Prawnmandler,There were no airholes.
11,Officer Prawnmandler,"Plus he did a bunch of whippits while he was in there, which couldn't have helped."
11,Pillboi,At least he died doing what he loved� a bunch of whippits.
11,Pillboi,Now he's never gonna get the life he truly deserved.
11,Officer Prawnmandler,"Meh, I think he got roughly what he deserved."
11,Jason Mendoza,I suffocated to death in a safe?
11,Jason Mendoza,I'm a moron.
11,Jason Mendoza,"Hey, Janet?"
11,Janet,"Hey, there."
11,Jason Mendoza,"Janet, you need to leave me."
11,Janet,Why?
11,Jason Mendoza,You're the smartest girl in the world�
11,Janet,I'm not a girl.
11,Jason Mendoza,� and your dad is an angel.
11,Jason Mendoza,"I mean, what a family."
11,Jason Mendoza,I'm just a dope who died in a safe with a snorkel� who's only now realizing why that didn't work.
11,Jason Mendoza,You should be with someone better.
11,Jason Mendoza,I don't deserve you.
11,Janet,"Jason, you are all that I care about, possibly because I did not have the capacity to care about anything before you."
11,Janet,I love you.
11,Janet,"Also, interesting sidenote, I think I might hate things now, too."
11,Janet,"So far, it's genocide, and leggings as pants."
11,Michael,This is nuts!
11,Michael,Just weighing in over here.
11,Michael,This is bonkers.
11,Michael,"Okay, I have to go reboot Janet."
11,Janet,Why?
11,Michael,It's the only thing I can think of to do to get rid of this glitch.
11,Jason Mendoza,"Yo, who you calling a glitch?"
11,Michael,"It means ""error"", Jason, which is what this is."
11,Janet,"Oh, really?"
11,Janet,Is it an error to act unpredictably and behave in ways that run counter to how you were programmed to behave?
11,Michael,Yes.
11,Michael,"Now, you two sit tight."
11,Michael,"I'm gonna go murder Janet, and I'll be right back."
11,Jason Mendoza,Look on the bright side.
11,Jason Mendoza,"When you're rebooted, I can teach you all the Dorito flavors again."
11,Janet,No.
11,Janet,I'm not starting over.
11,Janet,"What if he reboots me, and we fall out of love?"
11,Janet,We have to get out of here right now.
11,Tahani Al-Jamil,Where do you suppose she is?
11,Real Eleanor,I hope she's okay.
11,Real Eleanor,"You know, the more I work on her case, the more I think she truly belongs here."
11,Chidi Anagonye,"I'm� I'm sorry that I haven't been able to say� what you want me to say, because I do want to say it."
11,Real Eleanor,What's holding you back?
11,Chidi Anagonye,"Honestly, my biggest fear is just making sure that my motivation for saying it�"
11,Real Eleanor,Chidi?
11,Real Eleanor,Wow.
11,Tahani Al-Jamil,How did she suddenly --
11,Chidi Anagonye,Her motivation changed.
11,Chidi Anagonye,She couldn't earn enough points by apologizing to everyone here because she was only doing it to earn enough points to stay here.
11,Chidi Anagonye,"But she did earn enough points, which means that she's decided not to stay here, which means --"
11,Tahani Al-Jamil,That she's leaving.
11,Eleanor Shellstrop,"Oh, hey, Janet."
11,Eleanor Shellstrop,I was just about to call you to ask you to get me a train to The Bad Place.
11,Jason Mendoza,"Whoa, what?"
11,Eleanor Shellstrop,"You have to be a good person to stay here, and I can't become a good person unless I leave."
11,Janet,"You don't belong here, Jason doesn't belong here, and now that I can think and feel, I don't belong here either."
11,Eleanor Shellstrop,Where are you going with this?
11,Janet,There is a woman named Mindy St. Claire who lives in a neutral zone by herself.
11,Janet,It's neither a Good Place nor a Bad Place.
11,Eleanor Shellstrop,A Medium Place?
11,Eleanor Shellstrop,"Dude, that's where I belong."
11,Eleanor Shellstrop,I've been saying that since day one.
11,Janet,It's where Jason and I are going.
11,Janet,Would you like to come with us to Mindy's house?
11,Eleanor Shellstrop,Yeah!
11,Eleanor Shellstrop,Let's go hang with Mindy.
11,Eleanor Shellstrop,That sounds great.
11,Eleanor Shellstrop,"Love her, huge fan."
11,Eleanor Shellstrop,Call the train.
11,Jason Mendoza,"Look, there it is now."
11,Janet,I did not call that train.
11,Janet,"That train belongs to Shawn, the judge, who's coming here to judge you."
11,Eleanor Shellstrop,Can you make that train go to Mindy's house?
11,Janet,Yep.
11,Eleanor Shellstrop,Then we have to go right now.
11,Jason Mendoza,"I just have to run home real quick and hit ""save"" on the Madden game I was playing because Blake Bortles has, like, 300 yards passing in the first half --"
11,Michael,Shawn?
11,Michael,Ooh.
11,Shawn,Michael.
11,Michael,Sorry I wasn't here to greet you.
11,Michael,"I had something I needed to tend to, but it can wait, it can wait."
11,Janet,"Okay, I've hacked into the mainframe."
11,Janet,Kidding.
11,Janet,I can't hack into the mainframe.
11,Janet,"Technically, I am the mainframe."
11,Eleanor Shellstrop,Would you just hurry up?
11,Shawn,I'm here to rule on the fate of Fake Eleanor Shellstrop.
11,Michael,"Yes, yes."
11,Michael,"Um, I think we have a rock-solid case for Fake Eleanor."
11,Michael,I truly believe she's a good person.
11,Shawn,Are you sure?
11,Shawn,Because I believe she's stealing my train.
11,Eleanor Shellstrop,"I'm sorry, Michael."
11,Eleanor Shellstrop,"Sorry, everyone."
11,Michael,Well� not great for my case.
12,Yoga Woman,Ow!
12,Yoga Woman,What the hell?
12,Eleanor Shellstrop,"Walk it off, Lululemon."
12,Eleanor Shellstrop,"""Live every day like it's your last�"""
12,Eleanor Shellstrop,Bite me.
12,Eleanor Shellstrop,"I'ma live forever, bitch."
12,Google Crosby,Ma'am?
12,Google Crosby,"It's, uh, $132.21."
12,Google Crosby,"So, big plans this weekend?"
12,Eleanor Shellstrop,Yep.
12,Eleanor Shellstrop,"I'm gonna sit alone in my house watching wedding fails on YouTube, drinking margaritas through a Twizzlers straw until I pass out on top of my vibrator."
12,Joe,"Hi, there."
12,Joe,Do you have a second to talk about the environment?
12,Eleanor Shellstrop,No.
12,Eleanor Shellstrop,"Buzz off, whale-humper."
12,Joe,"You know, I see you here all the time, and you're always mean to me, and it really hurts my feelings."
12,Eleanor Shellstrop,It does?
12,Eleanor Shellstrop,"Because the minute you're out of my line of sight, I literally forget you exist."
12,Eleanor Shellstrop,Watch.
12,Eleanor Shellstrop,You exist.
12,Eleanor Shellstrop,You don't exist.
12,Eleanor Shellstrop,You're bothering me.
12,Eleanor Shellstrop,Don't care if you die.
12,Eleanor Shellstrop,See?
12,Joe,Why are you like this?
12,Eleanor Shellstrop,Excuse me?
12,Eleanor Shellstrop,Why am I like this?
12,Eleanor Shellstrop,"You don't know me, dude."
12,Eleanor Shellstrop,You don't know what I'm like.
12,Eleanor Shellstrop,"Look what you made me do, jag-off."
12,Woman,"Oh, my God, look out!"
12,Eleanor Shellstrop,Oh-oh.
12,Jason Mendoza,"Oh, good, you're awake."
12,Jason Mendoza,Can I ask you a question about where we're going?
12,Eleanor Shellstrop,Sure.
12,Jason Mendoza,Where are we going?
12,Jason Mendoza,I forgot.
12,Eleanor Shellstrop,"We're going somewhere that's not The Good Place, and it's not The Bad Place."
12,Eleanor Shellstrop,We're going to a Medium Place.
12,Jason Mendoza,Hmm.
12,Jason Mendoza,Is there a 7-Eleven on the way?
12,Jason Mendoza,"Cause Janet's powers aren't working, and I want some gum, and some football cards, and some scratchy tickets."
12,Eleanor Shellstrop,Go away from me.
12,Jason Mendoza,Okay.
12,Eleanor Shellstrop,"Can this train go any faster, Janet?"
12,Eleanor Shellstrop,"No pressure, but Jason and I will literally be tortured for all of eternity if we get caught."
12,Janet,"Don't worry, there's no way to tell we're going to Mindy St. Claire's house."
12,Janet,It'll be our sexy little secret.
12,Janet,Jason taught me about sexy things.
12,Eleanor Shellstrop,"Oh, yeah?"
12,Eleanor Shellstrop,What things did he say were sexy?
12,Janet,"Lamborghinis, cool snakes, spinning rims, 20,000 followers on Instagram, girls with pigtails eating lollipops, latex pants, Carl's Jr. ads, and sex."
12,Eleanor Shellstrop,Hmm.
12,Eleanor Shellstrop,Some of those are right.
12,Shawn,I'm here to preside over case number 00003 regarding the soul of Eleanor Shellstrop.
12,Shawn,The Bad Place has sent Bad Janet to present their argument.
12,Bad Janet,"What up, ding-dongs?"
12,Bad Janet,"Yeah, so basically, um, the Fake Eleanor's a dirtbag, and these jabronis are gonna try and claim she's less of a dirtbag now, but she just stole your train, and she still sucks bad."
12,Bad Janet,And she belongs with us.
12,Bad Janet,"Oh, also, check this out."
12,Bad Janet,Nailed it.
12,Shawn,I've ruled the fart inadmissible as evidence.
12,Shawn,What I will consider is the recent development of Eleanor stealing my train.
12,Michael,"Now, hold on a second."
12,Michael,She stole your train to voluntarily go down to The Bad Place.
12,Michael,"She was sacrificing herself because she is a wonderful, selfless�"
12,Michael,"No, don't� oh!"
12,Chidi Anagonye,What's happening?
12,Michael,I should have warned you.
12,Michael,Shawn only cares about cold hard facts.
12,Michael,"If he detects any feelings in your voice, he retreats into a cocoon, so what we need to do now is just be very still and very quiet."
12,Tahani Al-Jamil,Finally.
12,Chidi Anagonye,What did he just say?
12,Tahani Al-Jamil,"Oh, because you're all so perfect."
12,Eleanor Shellstrop,Wow.
12,Eleanor Shellstrop,This is truly nothing.
12,Eleanor Shellstrop,So where does this Mindy St. Claire live?
12,Janet,I don't know.
12,Janet,I'm out of range of our neighborhood.
12,Janet,I don't have any of my normal abilities here.
12,Eleanor Shellstrop,Perfect.
12,Eleanor Shellstrop,"Well, let's try this way."
12,Janet,Mmm.
12,Janet,I've never had to walk before.
12,Janet,This is fun.
12,Janet,Now I'm bored.
12,Janet,Walking is dumb.
12,Eleanor Shellstrop,"Well, given that she's the only person in the neighborhood, I'm guessing this is the pl�"
12,Eleanor Shellstrop,Oh!
12,Eleanor Shellstrop,She's naked!
12,Eleanor Shellstrop,"Oh, sorry!"
12,Mindy St. Claire,Who are you?
12,Janet,I'm Janet.
12,Beadie,"Hello, Mindy."
12,Beadie,My name is Beadie.
12,Beadie,"I'm from The Good Place, and welcome to your first day in the afterlife."
12,Trevor,"What's up, idiot?"
12,Trevor,"Sorry I'm late, babe."
12,Trevor,"Hey, are you pregnant?"
12,Beadie,That's not possible.
12,Trevor,Congrats.
12,Trevor,"Yeah, so, Mindy, look."
12,Trevor,"You mostly sucked, but then you did this one good thing."
12,Trevor,"I mean, I still think we should get you --"
12,Beadie,"They didn't, but neither did we."
12,Beadie,"A compromise was made, the neighborhood you are in now by yourself."
12,Beadie,"You submitted a list of things you wanted, The Good Place provided those things."
12,Trevor,"Yeah, and The Bad Place made some modifications."
12,Beadie,We got you your favorite beer.
12,Trevor,"Yeah, but it's always warm."
12,Beadie,"On your jukebox, you'll find every song ever sung."
12,Trevor,"Yeah, by The Eagles, and it's only the live versions."
12,Trevor,"Also, there's some spoken word poetry from William Shatner."
12,Trevor,It's deeply terrible.
12,Beadie,You get the idea.
12,Beadie,Welcome to eternal mediocrity.
12,Beadie,Welcome to The Medium Place.
12,Trevor,So what's up?
12,Trevor,What's your deal?
12,Trevor,Are you single?
12,Trevor,What's going on?
12,Mindy St. Claire,Sorry about before.
12,Mindy St. Claire,One of the perks of living alone is that I get to just walk around naked.
12,Eleanor Shellstrop,My kind of gal.
12,Eleanor Shellstrop,"And I gotta say, you keep it tight."
12,Mindy St. Claire,"Oh, that is the nicest and only thing anyone has said to me in 30 years."
12,Eleanor Shellstrop,So tell us everything.
12,Eleanor Shellstrop,"I mean, what did you do to end up here?"
12,Mindy St. Claire,That's kind of a long story.
12,Mindy St. Claire,Gonna need a drink or three.
12,Eleanor Shellstrop,Definitely my kind of gal.
12,Jason Mendoza,You guys have fun.
12,Jason Mendoza,"This is me and Janet's honeymoon, so we're gonna try and figure out how to have sex."
12,Mindy St. Claire,So I was a hotshot corporate lawyer in the 1980s.
12,Mindy St. Claire,I only cared about making money and doing cocaine and I was pretty crappy to my family as well.
12,Mindy St. Claire,"But one night, I had an epiphany, right?"
12,Mindy St. Claire,I needed to do something good with my life.
12,Mindy St. Claire,"So I drew up plans for this foundation that would help kids all over the world, would advance human rights, revolutionize agriculture, and just improve every nation and every society in every possible way."
12,Eleanor Shellstrop,"You were pretty coked-up, huh?"
12,Mindy St. Claire,"Oh, yeah, man."
12,Mindy St. Claire,I was flying high.
12,Mindy St. Claire,It was so awesome.
12,Mindy St. Claire,"But you're not gonna believe this, I followed through."
12,Mindy St. Claire,"Yeah, I woke up the next morning, I went straight to the bank, I withdrew my life savings, and I was gonna start that charity."
12,Eleanor Shellstrop,Good for you!
12,Mindy St. Claire,And then I immediately fell into subway tracks and was electrocuted by the third rail.
12,Eleanor Shellstrop,Ooh.
12,Mindy St. Claire,"Honestly, not the type of rail I thought was gonna kill me."
12,Mindy St. Claire,Cause I love cocaine.
12,Mindy St. Claire,Do you have any?
12,Mindy St. Claire,I'm just� I shouldn't� do you?
12,Eleanor Shellstrop,No.
12,Mindy St. Claire,"Oh, yeah."
12,Mindy St. Claire,"I mean, I was just� I was just kidding."
12,Mindy St. Claire,It was just a joke.
12,Mindy St. Claire,"I mean, who would want to do cocaine right now?"
12,Eleanor Shellstrop,Are you okay?
12,Mindy St. Claire,"Anyway, so after I died, uh, my sister found my plan, and, uh, she used my money to start the Mindy St. Clair Rescue Alliance, yeah."
12,Mindy St. Claire,It's actually the largest relief aid charity in the world.
12,Eleanor Shellstrop,"Oh, so the question was, did you get credit for all those good person points or not?"
12,Mindy St. Claire,Exactly.
12,Mindy St. Claire,"I don't know how long my case was pending or whatever, but when I woke up, the two sides had been fighting about me for a long time."
12,Mindy St. Claire,"Like a stripper over that last bump of coke at the party, if you know what I mean."
12,Mindy St. Claire,"But anyway, they finally came to this compromise, you know?"
12,Eleanor Shellstrop,"Well, it beats being tortured."
12,Mindy St. Claire,Hmm.
12,Eleanor Shellstrop,I was about to turn myself in.
12,Mindy St. Claire,No.
12,Mindy St. Claire,"Yeah, there's no time for that morality nonsense, sweetheart."
12,Mindy St. Claire,This is about survival.
12,Mindy St. Claire,You gotta look out for number one.
12,Eleanor Shellstrop,"Right, well, we don't have proof that it doesn't cure Alzheimer's."
12,Betsy,"Eleanor, we've got a surprise for you!"
12,Eleanor Shellstrop,"Yeah, thanks, but I brought my own cake."
12,Betsy,"Oh, I know you've only worked here a few weeks, but we have this little office tradition where we all pitch in, and then we --"
12,Eleanor Shellstrop,"Yeah, no, I get it."
12,Eleanor Shellstrop,"It's just, I know what kind of cake I like."
12,Eleanor Shellstrop,"Plus, it's Lisa's birthday next week, and if I let you give me a cake, that means I gotta pitch in to get Lisa a cake and sing to her and wear one of those dumb hats you all are wearing right now."
12,Eleanor Shellstrop,"No, thanks."
12,Eleanor Shellstrop,"This way, I don't owe you anything, you don't owe me anything."
12,Eleanor Shellstrop,Later.
12,Eleanor Shellstrop,What were we talking about?
12,Betsy,What is her deal?
12,Betsy,Why is she like this?
12,Wallace,"I don't know, but the meaner she is, the more it turns me on."
12,Wallace,Is that weird?
12,Betsy,You're my boss.
12,Wallace,"Oh, say that to me again, but more disgusted with me, like I'm a worm."
12,Shawn,"Eleanor was supposed to be in The Bad Place, arrived here by accident, assumed another person's identity, and has now escaped."
12,Shawn,Is that the whole story?
12,Michael,"Well, no."
12,Michael,Someone else was sent here by mistake.
12,Michael,"His name is Jason Mendoza, and I believe he's on the train with Eleanor."
12,Tahani Al-Jamil,You knew about Jason?
12,Michael,"Yes, I know that he's a fake and that he's married to Janet and that this entire neighborhood is� what's the human expression?"
12,Michael,"Uh, yes, a smokin' hot turd."
12,Shawn,I will deal with Jason Mendoza later.
12,Shawn,"For now, I will hear your arguments for why Fake Eleanor Shellstrop should stay in The Good Place."
12,Tahani Al-Jamil,"We can do this, but we must remain emotionless."
12,Tahani Al-Jamil,"I'm talking ""Kristen Stewart on a red carpet"" level of emotionless here, all right?"
12,Shawn,Begin.
12,Chidi Anagonye,Eleanor dedicated herself to the study of ethics.
12,Chidi Anagonye,I was blown away by her capacity for self-improvement.
12,Tahani Al-Jamil,Eleanor is a magnificent person who has grown tremendously in her time here.
12,Real Eleanor,"Please, I'm begging you, please."
12,Michael,Voluntarily heading to The Bad Place proves that she is a selfless person.
12,Michael,Sorry.
12,Michael,I'm getting choked up.
12,Shawn,"Yes, voluntarily sacrificing herself and heading to The Bad Place would be a point in her favor."
12,Shawn,"However, I've just received word that Eleanor is not currently in The Bad Place."
12,Shawn,We have no idea where she is.
12,Michael,"Well, what the�"
12,Chidi Anagonye,What?
12,Shawn,I will now review Eleanor's memories.
12,Chidi Anagonye,Her memories?
12,Chidi Anagonye,"As in, all the things she's done on Earth?"
12,Shawn,Mmm.
12,Tahani Al-Jamil,But perhaps we could take a little break first.
12,Tahani Al-Jamil,"You know, we've been at it for a while, and you must be tired."
12,Shawn,"I've been asleep in goo for the last 29 years, so I'm good."
12,Shawn,"Call up the screen for Fake Eleanor Shellstrop, please."
12,Shawn,"Where should we begin, ""Waiters Screamed At"" or ""Cyberbullying of Pregnant Women from Spin Class""?"
12,Eleanor Shellstrop,"Hey, you wanna grab a drink or something?"
12,Mindy St. Claire,"Uh, no, I kind of have my own private time routine."
12,Eleanor Shellstrop,I thought you'd want company after being here alone for so long.
12,Mindy St. Claire,No.
12,Eleanor Shellstrop,"Okay, I get it."
12,Mindy St. Claire,"Hey, uh, where did you get that?"
12,Mindy St. Claire,That's not one of my books.
12,Mindy St. Claire,"I only have Anne Rice vampire novels with water stains, and I've cut words out of most of them to make pornography."
12,Eleanor Shellstrop,My friend in The Good Place gave it to me when he was teaching me ethics.
12,Eleanor Shellstrop,It reminds me of him.
12,Mindy St. Claire,"Look, if you wanna survive, you have to forget what you left behind."
12,Mindy St. Claire,"Take that whole experience, crumple it up, throw it in the garbage can."
12,Eleanor Shellstrop,Okay.
12,Eleanor Shellstrop,"Instead of reading, I will watch this VHS copy of Cannonball Run II."
12,Eleanor Shellstrop,Or maybe the making of Cannonball Run II.
12,Eleanor Shellstrop,Wow.
12,Eleanor Shellstrop,Very medium.
12,Mindy St. Claire,Yeah.
12,Eleanor Shellstrop,"Hey, you two lovebirds figure out how to have sex yet?"
12,Jason Mendoza,No.
12,Jason Mendoza,"We tried for two hours, but there was just a lot of, like, bumping into each other."
12,Janet,It was weird.
12,Eleanor Shellstrop,"This ain't your Bar Mitzvah anymore, bitch."
12,Eleanor Shellstrop,It's my 24th birthday!
12,Eleanor Shellstrop,What!
12,Eleanor Shellstrop,"Hot tiara, girl."
12,Shawn,"That was ""The Crashing and Subsequent Destruction of Vanessa Garcia's quinceanera""."
12,Shawn,Let's move on to another event.
12,Tahani Al-Jamil,"""Heckling of Mall Santas""?"
12,Tahani Al-Jamil,"""Lifetime Ban from Build-a-Bear Workshop""?"
12,Real Eleanor,"""Brief Instagram Flirtation with Kid Rock""?"
12,Real Eleanor,"Oh, no."
12,Michael,This is getting away from us.
12,Michael,We need to do something quickly.
12,Chidi Anagonye,"Yeah, Judge, request permission to speak somewhat emotionally?"
12,Shawn,Ugh.
12,Shawn,Fine.
12,Shawn,Dramamine.
12,Shawn,Helps with the nausea.
12,Shawn,Proceed.
12,Chidi Anagonye,"Okay, look, I know, obviously, these memories aren't great."
12,Chidi Anagonye,"I was particularly disturbed by ""Started Fire in Mailbox to Get Mailman to Take Off Shirt"", but that was the old Eleanor."
12,Chidi Anagonye,She changed.
12,Chidi Anagonye,"She worked, and she studied, and she got better."
12,Chidi Anagonye,"And it wasn't just self-preservation, it was real self-improvement."
12,Chidi Anagonye,"I made the decision to help Eleanor that first week, and I'm glad I did."
12,Chidi Anagonye,Because she's worth it.
12,Tahani Al-Jamil,"I, too, helped Eleanor."
12,Tahani Al-Jamil,"Not as much as Chidi, surely, but my help was more friendship and sorely needed fashion advice."
12,Tahani Al-Jamil,Eleanor deserves to stay.
12,Shawn,Thank you for these testimonials.
12,Shawn,A ruling has been reached.
12,Shawn,"Oh, you want to hear it."
12,Shawn,I forgot how needy humans are.
12,Shawn,Eleanor Shellstrop is a bad person.
12,Shawn,The progress she has made does not offset her actions on Earth.
12,Shawn,She deserves to be in The Bad Place.
12,Michael,Oh.
12,Shawn,"As concerning Jason Mendoza, I have heard no statements nor seen any evidence to suggest --"
12,Shawn,"Oh, he's from Florida?"
12,Shawn,"Yeah, he belongs in The Bad Place."
12,Michael,"No, but how do you intend to enforce this ruling?"
12,Michael,You have no idea where they are.
12,Shawn,Bad Janet?
12,Bad Janet,"What's up, fork nuts?"
12,Shawn,Engage walkie-talkie protocol.
12,Janet,"What if you're here, and I'm like this?"
12,Jason Mendoza,"Yes, that may work."
12,Eleanor Shellstrop,Whoa.
12,Eleanor Shellstrop,What is happening?
12,Jason Mendoza,Is she having an orgasm?
12,Jason Mendoza,Did I do it somehow?
12,Shawn,Attention Eleanor Shellstrop and Jason Mendoza.
12,Shawn,This is the Almighty Judge on High of All Beings Living and Dead for All Eternity.
12,Shawn,My name's Shawn.
12,Shawn,"We do not know where you are, but hope you are receiving this message."
12,Shawn,You have been found to be the rightful property of The Bad Place.
12,Shawn,"Either return to your original neighborhood, or your accomplices Chidi Anagonye and Tahani Al-Jamil will go to The Bad Place in your stead."
12,Chidi Anagonye,What?
12,Tahani Al-Jamil,What?
12,Shawn,You have four hours.
12,Shawn,Goodbye.
12,Real Eleanor,"Your Honor, please, Chidi and Tahani are completely innocent."
12,Shawn,They are not completely innocent.
12,Shawn,They told me so themselves.
12,Shawn,"They aided and abetted two criminals, one of whom was a DJ."
12,Jason Mendoza,They're gonna send Chidi and Tahani to The Bad Place?
12,Jason Mendoza,"We're off the hook, this is amazing!"
12,Jason Mendoza,"Babe, we are going to be trying to make love all night long."
12,Jason Mendoza,"We don't have to go back, though."
12,Jason Mendoza,They just said.
12,Eleanor Shellstrop,We can't let Tahani and Chidi go to The Bad Place.
12,Eleanor Shellstrop,They're our friends.
12,Eleanor Shellstrop,We literally owe it to them.
12,Jason Mendoza,"If they're really our ""friends"", then why aren't they here with us right ""now""?"
12,Eleanor Shellstrop,Because we ran away.
12,Eleanor Shellstrop,"Are you� does your brain work, actually?"
12,Eleanor Shellstrop,Do you have a functioning head?
12,Mindy St. Claire,I think he has a good point.
12,Mindy St. Claire,I wouldn't go back for those turkeys.
12,Eleanor Shellstrop,How can you say that?
12,Mindy St. Claire,Think practically here.
12,Mindy St. Claire,"Okay, you go back, you turn yourself in, you get sent to The Bad Place, and you never see your friends again."
12,Mindy St. Claire,"Or you stay here, you're safe from The Bad Place, and you never see your friends again."
12,Mindy St. Claire,"It's the same results, except if you stay here, you don't get tortured."
12,Eleanor Shellstrop,But they do.
12,Mindy St. Claire,That's their problem.
12,Mindy St. Claire,Your problem is whether you get tortured.
